Minisector,NOR,LAW,Fastest
0,270.92827709283836,269.11819042432745,NOR
1,287.25049071407403,287.35280225269844,LAW
2,292.6454845098136,292.50398207910365,NOR
3,127.80736396100038,131.32097823553633,LAW
4,193.0471364116511,193.99449039269075,LAW
5,253.23727930145904,254.4285103784874,LAW
6,142.48028916204737,143.14617911344672,LAW
7,209.16057859726206,205.55494381716494,NOR
8,256.40782508382875,257.07293730538163,LAW
9,277.0347338487395,279.9237023885714,LAW
10,245.11663545112782,239.9116735380269,NOR
11,183.84484303941392,181.3065414984408,NOR
12,195.22843165038137,193.18939536741382,NOR
13,145.36674521751337,137.73822392316586,NOR
14,179.25059218351254,172.92982175994672,NOR
15,160.7272364710787,164.74599204981683,LAW
16,220.92601296888887,220.7618514280635,NOR
17,240.60129209561833,234.77108871688313,NOR
18,244.9119567977938,242.0440086517749,NOR
19,240.32181521471327,242.55068984533332,LAW
20,145.81785573672371,140.79747069740833,NOR
21,131.8136269317624,132.81455488318997,LAW
22,169.7263437302806,168.46415971165752,NOR
23,155.0862408649178,154.37310427526882,NOR
24,233.2430161922902,230.68105488390626,NOR
