Minisector,HUL,ALO,Fastest
0,250.42127790225953,248.77384104085237,HUL
1,286.9353262284058,286.8873584384226,HUL
2,169.92482839474667,158.3980538507525,HUL
3,160.55306237353383,157.43710696972363,HUL
4,257.3598581655065,256.33483663390473,HUL
5,272.27580260481795,269.05824499478257,HUL
6,240.87789786144182,238.09988273808003,HUL
7,208.20305818329584,213.48907305385623,ALO
8,160.12546885921088,157.66807675416163,HUL
9,217.75437403293418,217.36221382793264,HUL
10,271.3817548282828,271.6819629549311,ALO
11,115.84173952744831,126.83971515662563,ALO
12,216.945008046541,208.1683361132207,HUL
13,278.0193802869422,276.16751557163417,HUL
14,298.04477294203207,296.9991368022626,HUL
15,307.110326843637,306.5779605052632,HUL
16,228.29426741904763,237.14775463544973,ALO
17,130.24797281606695,129.2120832064221,HUL
18,132.26628638877048,126.77241948110974,HUL
19,123.66239389416411,117.93170715196351,HUL
20,232.15564844458302,217.30673108182455,HUL
21,262.81972877640004,260.8644109226369,HUL
22,236.2879172147667,236.9600676121929,ALO
23,213.8948090242034,212.1966887990988,HUL
24,143.03181082353382,139.04354164400593,HUL
