Minisector,BOT,PER,Fastest
0,324.40905905573317,322.7477225672878,BOT
1,334.0350906702948,328.70253625507246,BOT
2,338.95286260819046,324.1515151515151,BOT
3,192.30453319267397,204.48422367029502,PER
4,120.70254230056497,120.70112092059497,BOT
5,268.0515172228278,268.51975308641977,PER
6,306.5479166666667,302.23370931381663,BOT
7,322.4734848969697,312.4115942028985,BOT
8,279.8103740702828,278.68605769230766,BOT
9,141.04928897326067,144.68720600806432,PER
10,230.59725461136713,227.7160558045511,BOT
11,212.23409018511666,212.40147058823527,PER
12,197.655442445541,199.49015239964987,PER
13,270.79444448395066,268.47724350988454,BOT
14,311.98754140183223,305.6855518898535,BOT
15,330.1386963506128,315.4559782956522,BOT
16,270.04026678969774,269.67106422928885,BOT
17,196.5936039226178,200.96828708148146,PER
18,269.46661817325025,270.7057249185723,PER
19,308.45316117321215,306.080978226087,BOT
20,325.5151515151515,316.33179738325697,BOT
21,316.360981068739,306.6510416666667,BOT
22,205.89288410517887,208.9238662786797,PER
23,263.59219381210136,263.934126984127,PER
24,306.4180951710476,303.6327898434783,BOT
25,,316.18750079999995,PER
