Minisector,RUS,GAS,Fastest
0,299.60312413617316,296.74566619887634,RUS
1,241.37285385315923,241.05564304203173,RUS
2,133.13253468753624,130.7375709454579,RUS
3,238.7424544349787,244.71145540225908,GAS
4,191.78291854319326,191.0077345887125,RUS
5,244.7704358335952,241.7784168491413,RUS
6,233.6843185158423,226.63927732684442,RUS
7,258.3252460732138,248.19756969086419,RUS
8,284.67109546971426,282.79098233318683,RUS
9,201.41189140270043,211.84661871891157,GAS
10,205.4654627545705,200.52600655293654,RUS
11,273.70366800022083,268.9689289667448,RUS
12,216.75180156495375,212.52927650152313,RUS
13,253.21759208067624,246.92990722455937,RUS
14,289.5134363105102,288.0151850958684,RUS
15,304.30806774724635,302.1270186335404,RUS
16,301.2450777023052,298.58101280148145,RUS
17,213.66952168276376,210.96156169852893,RUS
18,257.22493908544516,258.7993461347021,GAS
19,293.3458336646465,292.506813124169,RUS
20,306.5690169204427,304.06297859469674,RUS
21,309.772886872381,300.9863612621118,RUS
22,151.84212546880036,151.73798226808483,RUS
23,231.39690095942652,225.70163618850245,RUS
24,280.9795109809778,283.6941324622222,GAS
25,,295.55833386666666,GAS
