Minisector,LEC,VER,Fastest
0,321.8195388016133,313.2436649632653,LEC
1,221.72922465190084,223.7389670067999,VER
2,133.69624667870195,128.4230684432807,LEC
3,217.58476807064935,217.54224091728824,LEC
4,262.5077793643932,262.8839700682508,VER
5,292.754895056201,287.7038858238768,LEC
6,311.50829569357575,303.9722427545098,LEC
7,274.2069015594987,269.7812445865195,LEC
8,161.77081539819795,168.35032191261473,VER
9,238.64852592429835,238.85391736905063,VER
10,273.3450472358399,273.4338726278095,VER
11,252.5161198240363,246.9862971254189,LEC
12,192.32422850862648,199.35838473822903,VER
13,114.675891954967,123.90971097581806,VER
14,120.17624303752177,127.07000159878788,VER
15,145.77470383612254,151.71253173959923,VER
16,133.83842966870262,128.04839737799773,LEC
17,235.91812450913955,226.43857224242427,LEC
18,167.01589051028813,158.2574045160329,LEC
19,168.68883699739885,161.9918171351275,LEC
20,245.69494779988793,244.73557369927195,LEC
21,275.9901871605636,275.53794669,LEC
22,298.6274219329293,292.8476466052661,LEC
23,315.88986122666665,303.6425782595238,LEC
24,326.63845682315593,310.4561223764172,LEC
