Minisector,PIA,ZHO,Fastest
0,290.4676541915344,289.94169350498277,PIA
1,303.5136298389318,300.1150445631615,PIA
2,304.98699999999997,298.50682334983804,PIA
3,191.09633881345218,182.32349070370915,PIA
4,207.36876778740708,202.29584994018063,PIA
5,207.38472556088848,201.59211931407802,PIA
6,264.2928072931554,263.97160119272337,PIA
7,252.39560721450772,249.1968729985149,PIA
8,208.49987941094653,203.7514634411345,PIA
9,202.47302958917135,204.16942892921335,ZHO
10,148.82783855994504,144.49880918808992,PIA
11,200.48484263274116,206.15120271434475,ZHO
12,183.9202676935359,175.51142471287358,PIA
13,246.48518771486295,239.70576585674772,PIA
14,174.51216230219558,175.69327357172722,ZHO
15,231.73921358535628,232.6482972991453,ZHO
16,273.8650139215119,274.0092718772726,ZHO
17,277.98063749123537,275.31754077229436,PIA
18,269.93686074178635,264.3576442380693,PIA
19,258.1321155231746,249.6727951941818,PIA
20,257.7389287107483,252.5351105307956,PIA
21,257.73142154064124,254.57942877878867,PIA
22,224.12866846824514,221.82406447610245,PIA
23,200.05886635706227,193.37066566114945,PIA
24,267.88048306684806,267.11760391600495,PIA
