Minisector,HUL,GAS,Fastest
0,307.83250756471676,327.37472590637805,GAS
1,242.03223484848485,246.64563212010802,GAS
2,127.12113236484466,130.49941424859747,GAS
3,216.75039285714288,216.7134420593027,HUL
4,261.9404370443476,263.1154270190476,GAS
5,287.40245535714286,288.48269469595766,GAS
6,303.65208333333334,298.8275437644784,HUL
7,303.76447601122914,283.03158423932774,HUL
8,174.41108391608392,175.46205450910475,GAS
9,238.2372660445874,240.67970674750103,GAS
10,272.23138592341843,269.94561301124185,HUL
11,270.37409226190476,257.9809349029129,HUL
12,206.75328915151513,206.06806398674945,HUL
13,126.68032085937493,116.83200874325026,HUL
14,122.14391425073244,119.15072538309764,HUL
15,166.61142995198048,166.03876262692592,HUL
16,123.63939019434095,123.88870045142254,GAS
17,223.18839276461136,224.5575465683117,GAS
18,179.43074270875283,184.60596136657003,GAS
19,162.04505224504618,160.7806113777613,HUL
20,245.7883597883598,242.76436768128437,HUL
21,274.91481736779497,269.8503469203361,HUL
22,293.9148701298701,288.49523172148145,HUL
23,311.1096153846154,299.4073431057198,HUL
24,319.85437130566595,305.6465278555556,HUL
