Minisector,PER,RAI,Fastest
0,277.747979064818,277.6864584789372,PER
1,294.9622950384486,296.33082921862217,RAI
2,223.03268817737612,227.81662167812377,RAI
3,112.08287315251947,118.80436220597434,RAI
4,134.88953854588868,138.72381235513217,RAI
5,250.67506280684046,247.68755922881107,PER
6,246.91187843809521,259.81194474497323,RAI
7,122.94829487369336,126.51285487443359,RAI
8,247.07013827010454,243.4083654057979,PER
9,254.48611181202742,249.94946233572944,PER
10,202.13193132051944,210.92424348384537,RAI
11,139.480637670986,144.16784120655134,RAI
12,204.56116616078123,202.4859747502046,PER
13,257.3860387172788,259.4473746903344,RAI
14,113.47431219796994,117.09353337901497,RAI
15,187.80002405213116,183.14393439329257,PER
16,254.97265890912934,251.07925641996388,PER
17,286.03916669785076,282.12449864727745,PER
18,300.3619896734044,295.2221417121065,PER
19,306.2587719859649,302.7425204653076,PER
20,308.59316214113056,305.43993938067143,PER
21,153.26693300844903,200.64609925381157,RAI
22,150.89552005163895,131.80592544218914,PER
23,190.9355808381535,196.55692369225886,RAI
24,235.30577063069202,220.44229378454975,PER
25,,259.64791626666664,RAI
