Minisector,HAM,RUS,Fastest
0,252.37132080529685,244.40849207505065,HAM
1,288.08414703238094,284.4680790341818,HAM
2,181.29675380743498,181.8553309336312,RUS
3,155.00061157803174,159.20962786166683,RUS
4,256.3872006399782,255.12869014516926,HAM
5,276.0830705430303,264.96192443919716,HAM
6,242.95835390085674,234.8431455290153,HAM
7,212.85091726575962,210.70040095820497,HAM
8,154.4203134119472,160.8027598646193,RUS
9,218.13142598463352,213.0713025856277,HAM
10,272.92857509356423,269.85533969850337,HAM
11,127.17181453113196,129.10306334559542,RUS
12,211.01221357219035,207.4512004511611,HAM
13,276.43514438655075,273.41527931759833,HAM
14,298.3856169196505,296.759630903385,HAM
15,307.1550672650472,307.02705606212913,HAM
16,238.37138613228157,251.696824213665,RUS
17,128.2908261153879,128.81481476964058,RUS
18,128.70370035502566,129.6994857184344,RUS
19,118.49131602748021,115.45534633195258,HAM
20,227.91446960761903,221.56414118115484,HAM
21,260.5867714052003,259.82733592613545,HAM
22,247.38339456234146,236.47581738569312,HAM
23,222.67968173478457,217.62801099824762,HAM
24,136.09421594965784,138.84887136305787,RUS
25,218.38333333333333,,HAM
