Minisector,RUS,ALO,Fastest
0,242.6475984644217,241.82053602321253,RUS
1,271.7682535908358,272.9380848135218,ALO
2,177.92496771008368,162.29271312173321,RUS
3,155.67872092500716,153.75176650814814,RUS
4,257.74821438802724,254.84113309529374,RUS
5,268.8202632489337,265.0045677457644,RUS
6,228.71498244962962,224.61025964522523,RUS
7,208.50378542787016,194.33607020450216,RUS
8,160.5913149664378,152.4451469823501,RUS
9,216.75209178461057,209.8952218732173,RUS
10,272.2511966672811,270.95815449037315,RUS
11,123.49083062431235,121.05224566585203,RUS
12,210.6568851446276,202.38620249823717,RUS
13,269.38707160076194,268.00675834920634,RUS
14,290.03635443232326,290.8637192297119,ALO
15,298.44880952380953,300.50590179975154,ALO
16,234.68680165577533,251.274401174966,ALO
17,135.23197349089162,128.8584613828084,RUS
18,137.5732823925665,129.48794564855567,RUS
19,123.25788465162792,116.70206815486664,RUS
20,228.06253851076923,220.2379373780666,RUS
21,258.31163120765217,251.31775314578755,RUS
22,233.1879609094083,226.96937327660024,RUS
23,216.679427022281,202.95472240700337,RUS
24,138.56619190932403,133.17842957707052,RUS
25,210.20000426666667,,RUS
