Minisector,NOR,TSU,Fastest
0,301.09382216756654,296.03729911688316,NOR
1,155.67275792391825,152.7535665187779,NOR
2,150.34680330423186,154.70311966230508,TSU
3,225.1781148639041,226.45655723377777,TSU
4,285.12883278201167,284.54078764517624,NOR
5,284.89373814265736,286.3447023572872,TSU
6,152.84637451034558,140.01209414307863,NOR
7,139.19455783795593,143.8482044928539,TSU
8,144.29682194508078,134.83705397671395,NOR
9,171.42753059308743,189.89849766518944,TSU
10,131.4713899979048,130.08877265364723,NOR
11,127.68007302757749,120.91575016208,NOR
12,155.0754022831915,175.02252842076737,TSU
13,263.5218191772705,269.9941800595169,TSU
14,289.6818787617391,291.2325366536613,TSU
15,148.281350387015,141.6284462909943,NOR
16,209.1711774859804,200.88263807339345,NOR
17,160.33026905365534,174.85743496088045,TSU
18,269.09288249950197,273.78744974612795,TSU
19,295.6104986043024,295.6722353926197,TSU
20,309.9200275895652,309.63344384609525,NOR
21,316.04986439378445,318.24600658077924,TSU
22,320.56512153980884,320.9860903377778,TSU
23,322.5928703930697,323.16649659863947,TSU
24,321.3090693373434,323.4591311093457,TSU
