Minisector,GRO,LEC,Fastest
0,291.19309677876,291.9543391955506,LEC
1,298.15000064000003,300.94088373333335,LEC
2,161.53054235704653,159.22985888,GRO
3,221.95208325333334,224.30776789730464,LEC
4,271.51666714074076,274.8195322,LEC
5,294.0156248,295.3427088,LEC
6,303.1333331911111,304.5303637405501,LEC
7,170.58087190875224,168.66838524006567,GRO
8,133.29851222857144,130.65381196690836,GRO
9,249.5779338495699,249.82023968721805,LEC
10,284.11718766666667,284.68307346666666,LEC
11,296.5588230901961,297.95755153333334,LEC
12,148.62403705855587,141.81792645079366,GRO
13,196.96557027288767,195.43750266666666,GRO
14,258.8964708429632,261.18819537777773,LEC
15,193.99864132173914,185.7186793532658,GRO
16,218.9768949818182,221.75961507809524,LEC
17,208.85102794805195,208.52580402004108,GRO
18,240.86937905608465,245.78379762962965,LEC
19,271.9635877764506,276.13345632941173,LEC
20,289.46348047058825,293.8987711513139,LEC
21,246.14758631214778,246.03812288,GRO
22,214.44526496969695,214.56244749983085,LEC
23,199.86684864927537,207.28617614545456,LEC
24,262.6550936296296,267.83875574594794,LEC
25,281.05,,GRO
