Minisector,LEC,KVY,Fastest
0,302.003968152381,305.60086992856026,KVY
1,324.9108716317889,331.9849206349206,KVY
2,318.8427083733333,323.66804511278195,KVY
3,184.50858728123634,180.94011213796472,LEC
4,230.03070027252747,218.34788745239126,LEC
5,212.175524460295,205.12456364698411,LEC
6,197.78377484976957,192.57156957469073,LEC
7,219.24154853448522,214.38517325660462,LEC
8,260.5830226815735,254.82112542199957,LEC
9,267.3513893333333,258.86885323887867,LEC
10,179.5043558514851,176.61179813075827,LEC
11,247.42098994000983,243.49182703589744,LEC
12,122.73918429951925,117.56066273039323,LEC
13,236.6005030521166,231.20773828106107,LEC
14,280.50896457416604,274.3095668415757,LEC
15,291.5301586793651,280.0357955878788,LEC
16,214.4380846386079,208.1763845038412,LEC
17,187.28515749252153,190.2263948457417,KVY
18,277.88169451548526,273.2214285714286,LEC
19,303.5137783545863,297.1739190495556,LEC
20,314.9789473684211,308.4855898749663,LEC
21,314.94211066213535,308.53499999999997,LEC
22,264.59831344761903,260.5026803051735,LEC
23,114.91949697897574,117.88036794719306,KVY
24,247.7782485419169,244.26941945396825,LEC
25,283.1333333333333,276.88124960000005,LEC
