Minisector,ALB,MAG,Fastest
0,232.09494104606006,230.50109062474067,ALB
1,279.2484363999153,278.90121303425207,ALB
2,293.1632911339625,295.35258913428834,MAG
3,300.08594256876506,302.6677975847619,MAG
4,267.67838382217946,273.11365815793243,MAG
5,169.7046605353881,167.19292804309126,ALB
6,260.24787404253937,256.8956053282389,ALB
7,277.7701958238806,278.1167203471614,MAG
8,222.91164410694327,222.66527123275213,ALB
9,216.61168150583623,216.79138443923202,MAG
10,185.17351501848552,185.4933149887996,MAG
11,227.60773391722051,219.50593007059757,ALB
12,210.85877541884938,208.51451869582723,ALB
13,220.09085218032723,216.65560324723032,ALB
14,225.9239233565302,221.13553245075647,ALB
15,183.75349954613193,182.0246878265232,ALB
16,245.31813994546584,241.34286252993024,ALB
17,281.95409509958836,283.18012080497914,MAG
18,295.09202515074276,297.8831467623673,MAG
19,286.40091789386685,293.1993831890102,MAG
20,134.48384709376472,136.23701393903195,MAG
21,163.70875177367188,173.02832953816613,MAG
22,158.00733224400403,137.04830548208895,ALB
23,209.1252812398018,215.71488719365172,MAG
24,152.68417953235468,141.53240294642984,ALB
25,,169.7458304,MAG
