Minisector,LEC,VER,Fastest
0,308.7388528035277,298.42018262692227,LEC
1,198.05772668281205,204.8656900392971,VER
2,220.9104981228369,225.43807929701032,VER
3,270.82514922574313,277.75614666795315,VER
4,227.71413292320324,249.77270013676767,VER
5,126.82289989923355,127.73487602913534,VER
6,205.48594166320987,201.07517353839907,LEC
7,244.51526732674702,245.15434497634232,VER
8,236.4872343658197,230.5637671540072,LEC
9,238.63525955572106,241.89540775328797,VER
10,285.30293814688423,287.79355346398586,VER
11,308.52179876648864,310.18286398043847,VER
12,319.36382260035276,321.3880384580499,VER
13,316.671898688,318.0160070231177,VER
14,304.90154987570503,309.60039175920554,VER
15,249.22613424899902,248.96849423273235,LEC
16,232.7695461183516,234.62224518497658,VER
17,272.35189624069113,279.77016176169315,VER
18,279.0130622811429,290.0059026001771,VER
19,156.71489010830152,156.049223155554,LEC
20,196.74229901157676,198.69583537675808,VER
21,169.15873733326646,180.5762013118466,VER
22,136.61983639653735,129.10515644709423,LEC
23,228.87619030881157,238.4828343697733,VER
24,291.551631863107,293.0801770662434,VER
25,304.87000064,306.5892854857143,VER
