Minisector,VET,HUL,Fastest
0,300.27546135064307,300.3392941499289,HUL
1,254.6740376773371,244.7740726963207,VET
2,213.63091372389846,202.54547573310825,VET
3,272.72938304415584,265.1555517520916,VET
4,246.77219064184294,226.9882315703994,VET
5,121.91853941452459,118.75718627033767,VET
6,188.0128911307518,188.9649818961002,HUL
7,260.74422640473205,260.95338838468894,HUL
8,288.6461974167947,289.15795640498663,HUL
9,301.7918799689683,303.0072544968942,HUL
10,307.16111126349205,306.7006415660373,VET
11,228.41441996238547,218.7711151228528,VET
12,146.20650805309447,148.146181244261,HUL
13,261.17363725839317,261.13201897480343,VET
14,291.9725430603268,293.875181160116,HUL
15,302.4985352405078,301.9341834836536,VET
16,299.31414397097507,296.0849929202808,VET
17,278.1530876128968,260.0494757073818,VET
18,199.10078491287283,187.12541653335052,VET
19,195.69187496983275,179.50597038302382,VET
20,195.44503465582292,196.9841342115541,HUL
21,255.39236841390945,242.83151397574105,VET
22,131.83440747148066,124.66250426646306,VET
23,204.3513313700896,211.41927848606386,HUL
24,280.79298508351513,289.3809542852361,HUL
