Minisector,SAI,ZHO,Fastest
0,291.392916003013,287.99708257829485,SAI
1,299.0873096247042,296.7718796062156,SAI
2,278.5690363120181,278.6314242266474,ZHO
3,105.3680632800944,105.76234073035629,ZHO
4,221.16313132986124,219.13095024344594,SAI
5,271.419590461244,268.71025074444447,SAI
6,203.14144887194342,211.5167707697218,ZHO
7,162.69272714047793,157.19839122560813,SAI
8,210.0443902373757,206.33993446062377,SAI
9,223.85535425008484,211.7496937045302,SAI
10,115.31720043379467,117.87458933626831,ZHO
11,227.66903997478406,224.1738114488889,SAI
12,120.3104995037242,118.07085732315656,SAI
13,216.14306076807725,213.9187340941848,SAI
14,275.164118980279,269.8101731568254,SAI
15,215.24980251143595,218.28087814048595,ZHO
16,189.14195984728923,178.65022975970615,SAI
17,251.90555586287678,242.265121382196,SAI
18,203.72559896194429,206.15527937548387,ZHO
19,170.21049595353875,172.99051311687418,ZHO
20,261.49005563233237,256.1160741596135,SAI
21,285.91242507106494,282.52821391109717,SAI
22,170.27872908197511,173.35683799177653,ZHO
23,207.08523318659698,201.12427527074829,SAI
24,269.9920711580806,266.43307240874003,SAI
25,,280.7833329777778,ZHO
