Minisector,RAI,BOT,Fastest
0,316.1536488088963,311.63645826666664,RAI
1,229.54478973333335,243.27978485722423,BOT
2,133.16486501692708,141.18348946158642,BOT
3,224.87019132229406,223.41246413756204,RAI
4,271.35448168826525,266.1943817139126,RAI
5,297.25430536685116,292.64808538328487,RAI
6,310.4269133714286,307.71153846153845,RAI
7,292.11842706832925,293.18711544588894,BOT
8,175.05851793205477,184.67394689658002,BOT
9,243.70805262003196,246.07270960301648,BOT
10,279.9550558674472,277.81862721136997,RAI
11,269.8272760839171,271.13292836221626,BOT
12,211.07512750909842,216.4860442500322,BOT
13,130.70656912631867,135.76913579465466,BOT
14,124.14011680287426,128.01861055574614,BOT
15,171.6185042734039,173.20302021789627,BOT
16,123.77218494098696,131.05538546998554,BOT
17,235.78003489427743,235.25436605019993,RAI
18,194.16122063646452,199.75772728164145,BOT
19,166.15619280827372,172.568198467252,BOT
20,251.93510989986873,253.64307906153385,BOT
21,283.92731739301246,281.0421598039129,RAI
22,301.8127035363833,296.9155984509139,RAI
23,310.27055566222225,306.66830535788745,RAI
24,313.96517233911305,310.25694435555556,RAI
25,315.8642861714286,,RAI
