Minisector,HAM,HUL,Fastest
0,315.50515737560215,309.09458876453203,HAM
1,312.480654552381,303.61039950145755,HAM
2,159.68606493180633,163.1046874984795,HUL
3,162.60511095014778,154.95796255142955,HAM
4,197.5767053848456,197.54646215555113,HAM
5,149.26025359027292,145.86017653355455,HAM
6,206.40820559979386,199.00099006202686,HAM
7,275.69003931396605,269.8241356629212,HAM
8,290.05055549155554,284.5924480654195,HAM
9,282.17710584805155,274.63611844033613,HAM
10,245.56514713263158,232.06083203734858,HAM
11,243.0980661425655,234.47724892230576,HAM
12,223.86380942682513,221.77635220136057,HAM
13,173.1380465025948,180.5257947658654,HUL
14,141.4337334174615,134.31934085321748,HAM
15,130.62199874554787,127.79100936124347,HAM
16,199.22991271198654,187.1276992505136,HAM
17,265.7191885893558,267.43074250222224,HUL
18,196.5410515845792,206.69350497061043,HUL
19,114.88065453870193,114.07525480468057,HAM
20,207.80786391622559,208.83661787543295,HUL
21,186.04231637611122,177.5288291657143,HAM
22,246.15830289590644,243.42635891186882,HAM
23,277.3799006711834,278.5107110679365,HUL
24,303.0748725587954,304.62776844,HUL
25,314.1250005333333,310.1791669333333,HAM
