Minisector,BOT,VER,Fastest
0,251.72951297777777,261.76529527429415,VER
1,281.39039569846756,297.4343560182724,VER
2,174.66178816000001,153.5394631449529,BOT
3,172.9445411549941,167.47958236952383,BOT
4,261.64635821090263,262.35635987364174,VER
5,277.21636587775635,269.5471729015873,BOT
6,234.84500096,226.62263233261027,BOT
7,206.7024912271147,205.10506966174057,BOT
8,165.70928331956986,159.73923642750384,BOT
9,221.49320794074072,234.97370346153096,VER
10,277.7098576074608,275.729545939394,BOT
11,124.43788251097682,121.49750495084942,BOT
12,220.16944209382714,228.56211806476188,VER
13,272.2607703945578,276.1248628317979,VER
14,290.5961165061224,293.57354144,VER
15,296.9260964491228,295.6791666666667,BOT
16,230.75666819000173,191.8548388904762,BOT
17,140.02344885581397,136.4900415223487,BOT
18,141.43351329626353,144.36000177359986,VER
19,124.85521753935208,124.83802497203011,BOT
20,234.53974557407932,231.87216622933335,BOT
21,260.71985863896106,258.624179220931,BOT
22,240.15180324548678,230.06198844892614,BOT
23,216.8538138638448,205.03825547586206,BOT
24,149.03046732,150.6625000072072,VER
25,224.53333333333333,,BOT
