Minisector,ALO,TSU,Fastest
0,293.87666282666663,295.4778027701888,TSU
1,158.771121954544,157.2813838103534,ALO
2,150.54781423074047,153.16085630202127,TSU
3,222.3687432775988,225.17152236190478,TSU
4,283.33659503542856,287.92373844821594,TSU
5,290.76433352533337,295.327999232,TSU
6,144.72494942012676,147.28599463018082,TSU
7,141.06778258857796,140.95339892558792,ALO
8,145.59658818358974,149.91375691948568,TSU
9,180.19499468902043,172.61225051730153,ALO
10,128.30786234862822,131.7164317455137,TSU
11,125.97644101812242,129.47397243263455,TSU
12,167.00983665500473,159.68945703949277,ALO
13,266.95178894528436,268.69846766676187,TSU
14,285.94947405300934,293.2191667626667,TSU
15,150.1083538012101,153.5957839020408,TSU
16,210.4664284952381,209.12738057142857,ALO
17,166.6611159783429,168.37230881731602,TSU
18,269.33297752879275,272.6795793943979,TSU
19,293.96683336533334,295.29100014933334,TSU
20,308.0400432900433,308.6675051081902,TSU
21,316.77228271304347,316.56822919999996,ALO
22,319.6666666666667,319.7567029333333,TSU
23,323.14278337163506,322.48134061449275,ALO
24,315.39071975757577,321.116269784127,TSU
25,312.3208330666667,,ALO
