Minisector,ALB,SAI,Fastest
0,260.76704837602466,266.85624148002086,SAI
1,135.56710515289137,135.96765473458822,SAI
2,198.46514295636365,202.33989017415894,SAI
3,247.2528774181627,245.3178914185695,ALB
4,256.6985515773968,260.56562572444443,SAI
5,176.24654238014432,180.97335966791533,SAI
6,149.9783633160746,154.71685510753485,SAI
7,183.00099051827664,189.87302699672588,SAI
8,102.04348039306947,105.20718617778293,SAI
9,71.20308625560072,70.42932849146621,ALB
10,96.7666279336777,96.77824590877337,SAI
11,186.91171927945578,186.06311956902357,ALB
12,247.8823892622222,244.68869854257957,ALB
13,270.64076342160905,268.19903112489794,ALB
14,282.50875022908684,279.2922984565657,ALB
15,120.31172260720217,109.93861169421466,ALB
16,162.01448359186517,155.04029430744052,ALB
17,186.32896437028572,190.15989729585877,SAI
18,202.6204851129568,206.33087115412772,SAI
19,212.95644085313546,216.8575080754401,SAI
20,141.7424919,141.1541148742704,ALB
21,109.84749525768707,112.0291051905461,SAI
22,101.29705044762923,103.40772334145608,SAI
23,202.9361652221034,198.84405411862323,ALB
24,248.16382883333333,251.07245520506396,SAI
25,264.9916672,,ALB
