Minisector,HAM,KVY,Fastest
0,260.9012340363235,257.7186759351502,HAM
1,216.98621655341526,202.58770659816565,HAM
2,230.5180554451839,221.81487770268652,HAM
3,266.51239661504707,261.24125378245515,HAM
4,277.5243121978721,272.37771747246376,HAM
5,222.8044425665816,219.45794024580613,HAM
6,98.83723614388829,95.60715776108266,HAM
7,194.22248771330516,189.95954927963052,HAM
8,271.2752397593599,272.64418381583494,KVY
9,291.52447504125183,296.06671323432965,KVY
10,298.3237272727058,304.4739073475889,KVY
11,300.4220914865409,299.57622352860903,HAM
12,116.77716310427466,112.37485835975592,HAM
13,217.77767878287693,216.61283299186564,HAM
14,276.9631682120168,279.234336046947,KVY
15,294.3930464823482,299.7189702312942,KVY
16,233.06964605493397,227.91933958979567,HAM
17,129.93803790515793,124.62126930157102,HAM
18,156.9843343022929,150.87239284506157,HAM
19,255.63822149182445,254.8867638799197,HAM
20,169.48693139902568,156.9897609903445,HAM
21,132.62741496181397,125.2496718708242,HAM
22,208.9238695168486,198.80319024468636,HAM
23,215.65532909341914,198.7262893170032,HAM
24,170.15448270202606,160.90109779749227,HAM
