Minisector,HAM,SAI,Fastest
0,274.4716281556254,274.4631002892379,HAM
1,253.1357654164502,243.924768519089,HAM
2,121.59792387675085,118.73861265283699,HAM
3,179.73145564218183,174.3447470919882,HAM
4,196.84562883526098,188.72051911193034,HAM
5,204.00997630927912,204.858393997676,SAI
6,266.8469553124926,266.9286110577778,SAI
7,287.16890728694676,288.3250676941302,SAI
8,248.6188254196578,227.19137732592594,HAM
9,151.87927090816126,143.7881182231109,HAM
10,125.45332699298335,125.07427489095262,HAM
11,167.1546990204474,165.14048166999999,HAM
12,249.99052963878788,248.7695248946654,HAM
13,163.96303187694943,150.88402740622223,HAM
14,154.87592428619058,151.88154790736542,HAM
15,112.94349939317213,106.28839539557819,HAM
16,219.130115003242,227.61573767155278,SAI
17,249.18469656908402,230.22690886128365,HAM
18,134.8707043313016,131.65916725325638,HAM
19,237.82634092496008,246.7907480941799,SAI
20,279.3156081758131,278.01243985181304,HAM
21,206.49864895568075,185.62078281423098,HAM
22,154.5968156101271,174.27798225331227,SAI
23,220.67001291413075,221.38373555093793,SAI
24,233.87465316960746,236.47846565746252,SAI
25,260.1499968,,HAM
