Minisector,ALB,SAI,Fastest
0,280.0942705320415,281.6101261970927,SAI
1,289.1286409828571,293.8249737772257,SAI
2,238.77515199449735,238.44633235862423,ALB
3,113.16310592135866,113.8268418015318,SAI
4,137.707009032867,131.33160296170414,ALB
5,252.81893686739397,251.0287760886857,ALB
6,255.95178450229693,252.35654464707005,ALB
7,124.21024545808335,126.57892216489434,SAI
8,245.46209049292085,246.3133212281423,SAI
9,256.6434669695238,263.80449571087456,SAI
10,213.47739950516015,207.21074944056437,ALB
11,143.11578255893502,139.04069629869224,ALB
12,206.82575809186784,208.85997475487727,SAI
13,264.37676082002065,259.56345965118015,ALB
14,118.27236983718129,118.70139964707482,SAI
15,192.09940262330048,196.61242091544818,SAI
16,259.6410280643386,262.69800726626266,SAI
17,291.76778479457136,289.8506138534151,ALB
18,304.40126978201056,303.1626121433058,ALB
19,311.6603900066165,309.6341050469136,ALB
20,314.40053924392157,308.9834459964849,ALB
21,167.7329580631258,168.06950070435997,SAI
22,138.124256947405,151.4870657630376,SAI
23,198.59624723398863,206.4592975067252,SAI
24,240.65609684285712,237.2457660102564,ALB
