Minisector,LEC,ZHO,Fastest
0,284.2882060882563,274.41245694342524,LEC
1,112.08921616653497,112.32535023456151,ZHO
2,166.77141153400402,158.44252981202598,LEC
3,208.3188788193132,208.09349394086877,LEC
4,165.32567223355022,158.60992361481675,LEC
5,242.62546998071426,237.635908871387,LEC
6,190.28200497936027,199.12514917304497,ZHO
7,136.9059964557623,130.70193479459982,LEC
8,234.91654748030302,230.6169929727259,LEC
9,272.7143419793547,277.0416215989814,ZHO
10,273.50925626912715,279.999492004169,ZHO
11,147.3958869908304,140.83002036248644,LEC
12,220.14529379447438,218.7679910515439,LEC
13,266.3293863041604,264.5091503258413,LEC
14,254.60357463288886,258.103637085042,ZHO
15,99.6369381877086,104.70419747550268,ZHO
16,219.69305673387416,215.4644785070763,LEC
17,271.3645919181105,270.5898776462338,LEC
18,293.14118458,301.37989273061237,ZHO
19,305.022841701813,318.4797662867647,ZHO
20,311.1918816160847,329.50707177142857,ZHO
21,280.1589285123271,292.27839448134677,ZHO
22,152.11564407809996,146.76176338989384,LEC
23,233.7219451387707,231.43117664507938,LEC
24,278.55472480717475,280.00096562221495,ZHO
25,,296.1178569142857,ZHO
