Minisector,NOR,ALB,Fastest
0,278.3171310811947,277.5197271113879,NOR
1,298.4426557386766,299.46106439505706,ALB
2,298.95017011809523,298.12583434716225,NOR
3,183.22936163115133,187.53187646321743,ALB
4,117.82227898695666,118.43029012463684,ALB
5,241.26687300720235,236.12957867913968,NOR
6,282.282444935766,282.1961988494964,NOR
7,294.35608542698566,299.23242383481,ALB
8,182.48809806211997,174.85757542427118,NOR
9,144.5976882650608,142.21058292932105,NOR
10,251.83451503869713,252.0818043162926,ALB
11,290.0338064202616,292.13693166572597,ALB
12,292.1546655363975,304.06446394122446,ALB
13,265.5021522147,277.5393270780913,ALB
14,297.15977072761905,303.78001400371255,ALB
15,300.2456359903455,303.860049888425,ALB
16,247.30623170556066,245.97466105042324,NOR
17,226.4068545630226,214.39832771138953,NOR
18,281.9800259318212,277.6132121616931,NOR
19,305.75839021865227,306.3834294945879,ALB
20,309.64676114610404,315.010107494321,ALB
21,241.10933553228548,232.46492512325653,NOR
22,261.30886973018505,258.0849249820212,NOR
23,132.6981829755002,139.74533254315148,ALB
24,221.10028647854546,215.65866859780755,NOR
