Minisector,HAM,PER,Fastest
0,302.4023579608894,307.7057984,PER
1,160.62861754139195,156.5273537076302,HAM
2,160.53534404472313,158.19164621440038,HAM
3,214.7302578605725,205.15458817354727,HAM
4,281.71626052294374,282.9925520265895,PER
5,295.0666797889054,298.4981066666667,PER
6,153.86618197218223,151.54578044803733,HAM
7,142.57633234924538,138.79269896269125,HAM
8,156.6866845555949,159.28774573572338,PER
9,168.13574491045637,161.5537328557246,HAM
10,135.342967427839,134.26416314518286,HAM
11,127.7271365367481,127.54348948882607,HAM
12,154.95912974874688,150.81323067595238,HAM
13,262.8545967209065,262.0115708727953,HAM
14,287.62632576969696,290.2431503531507,PER
15,153.39047416470083,153.46746434949338,PER
16,215.88378244871865,211.7995434448426,HAM
17,161.5256425408678,152.06907889766563,HAM
18,264.2981737290207,265.08699577680835,PER
19,290.04734865454543,291.7107953454545,PER
20,303.8513425070578,304.09553559365077,PER
21,312.7883333333333,314.22676783813694,PER
22,318.19166679365077,319.49062517333334,PER
23,322.82895829333336,324.44358087692115,PER
24,319.74452958911564,322.65947441269844,PER
