Minisector,RAI,BOT,Fastest
0,269.897566555486,272.86299576023475,BOT
1,287.7925158229114,292.6205607451326,BOT
2,295.84394463433813,295.6421740734695,RAI
3,130.6725740702939,131.22927347511344,BOT
4,190.77792886949612,201.3231681385708,BOT
5,257.27513911300633,258.11052682105264,BOT
6,138.77739764306727,142.61000246853553,BOT
7,207.58388443748555,210.50524381927792,BOT
8,260.28131570173457,262.9026086797474,BOT
9,280.6376905715808,284.84645829987346,BOT
10,241.92336897421214,241.18523039301226,RAI
11,185.29075721125645,185.39671707723525,BOT
12,187.6366797029751,194.69834390812676,BOT
13,148.1753164560321,147.37951027004678,RAI
14,174.84359218150772,176.14718570740436,BOT
15,159.69984114542538,167.70003678458028,BOT
16,213.9715612853655,223.41179975223253,BOT
17,237.24730700846263,241.35315959368685,BOT
18,235.2697313421051,245.40607974328773,BOT
19,251.15714260573623,241.07293544439344,RAI
20,142.60691371738778,149.4012781915011,BOT
21,136.7563862702903,134.81387819928386,RAI
22,165.87231136638584,171.0404869193754,BOT
23,152.6258535380157,155.45350016957872,BOT
24,229.42973824914068,235.6645070424461,BOT
