Minisector,PER,HUL,Fastest
0,262.5988567749413,257.6965282573545,PER
1,129.76728897163713,134.4453235510204,HUL
2,261.97198315402295,266.2716490269624,HUL
3,310.2032612972448,308.7768760496894,PER
4,311.56887402539684,308.7513128237881,PER
5,321.63308721914,316.64422115555556,PER
6,336.0154762467909,321.848462215873,PER
7,342.2540953757006,317.4505517513225,PER
8,203.50408121081082,207.04428065957984,HUL
9,187.77072718124063,190.28098183345543,HUL
10,185.93418451872245,192.85785443223443,HUL
11,158.0698599332415,162.97800162081515,HUL
12,243.6354977809811,247.05802611933808,HUL
13,275.6376413442523,269.9057477885058,PER
14,273.07920185176107,274.9286633304211,HUL
15,275.10372511604936,279.75154478920047,HUL
16,182.35242867733606,183.05778092450637,HUL
17,188.73475521417578,193.47988372551893,HUL
18,233.8895005455567,235.80734924533758,HUL
19,283.11423787748294,281.68052511572745,PER
20,306.89031181392915,306.5804401231016,PER
21,315.44927540869566,316.3593687475543,HUL
22,310.92078366349205,312.3505954920635,HUL
23,256.47449949896094,275.4806464846561,HUL
24,115.95551111066032,112.862505410255,PER
25,,229.08888746666665,HUL
