Minisector,NOR,STR,Fastest
0,297.57046151898345,294.47306807709094,NOR
1,222.39690479714938,222.01189827675424,NOR
2,232.36437700266666,230.43120338189715,NOR
3,276.70591447377365,274.71839655251443,NOR
4,253.31532172240267,245.48642710915752,NOR
5,131.061067129403,127.85999119536628,NOR
6,209.31151927488557,211.54090272753197,STR
7,265.3383879205442,262.96838648838093,NOR
8,255.1129116147131,247.41072933791247,NOR
9,241.19114790464272,240.39829902316498,NOR
10,278.0179683213382,275.2844851163719,NOR
11,294.30936717381513,291.86807680961675,NOR
12,305.3375055158277,301.5787834055053,NOR
13,309.970916008283,305.37267205182184,NOR
14,310.02083352470584,304.98171896,NOR
15,271.03090911883544,256.22313203070706,NOR
16,253.37153710309633,244.76938478296606,NOR
17,282.5122698710204,282.2678967651371,NOR
18,294.9576184693498,294.3783273332067,NOR
19,164.73799660025912,156.86596807407406,NOR
20,210.50666255782312,206.26884913835585,NOR
21,185.81345197876826,189.56440553584542,STR
22,138.73608129127027,144.31838308809992,STR
23,243.87064628520235,235.44736779102996,NOR
24,284.6832328488493,280.8275127505777,NOR
25,,293.10833351111114,STR
