Minisector,VER,PIA,Fastest
0,305.2850835274831,302.128556670295,VER
1,224.7716724573776,237.52739036991454,PIA
2,135.28797555758075,126.78739370205129,VER
3,232.73637017459401,238.66904249344825,PIA
4,194.58525040166586,192.99971026607219,VER
5,247.84025404043638,250.20658609128748,PIA
6,231.36118123757208,234.93683602153754,PIA
7,260.78638605401835,252.9051329974327,VER
8,293.0855671749573,291.41839935464714,VER
9,197.96337920513375,206.32433180921836,PIA
10,206.41163576609904,199.10026203900236,VER
11,276.53685206098254,273.2022335810468,VER
12,216.86214083404522,218.67774307140664,PIA
13,253.67854887567864,255.07584783174917,PIA
14,293.82432699791514,292.4089922438539,VER
15,308.732875008,307.37201534406927,VER
16,315.09602771630176,305.35221360949686,VER
17,214.76328118371052,207.0738268862745,VER
18,266.42011239203833,259.8816613234055,VER
19,297.92242213040294,294.0288336563912,VER
20,306.46258781192984,309.2434691523666,PIA
21,309.06454545454545,307.8654435031056,VER
22,152.74047186964836,152.483810453611,VER
23,232.98391055915218,230.6830189833357,VER
24,285.51589535887126,284.8484644773262,VER
25,292.77000000000004,296.69500031999996,PIA
