Minisector,LEC,ALO,Fastest
0,247.29678643094667,248.77384104085237,ALO
1,285.14054926843477,286.4922116850017,ALO
2,182.87598439564442,163.2409804989399,LEC
3,160.80587557764704,155.3433466268216,LEC
4,254.8544009504228,255.41413012752832,ALO
5,275.16915158673044,269.05824499478257,LEC
6,247.93502241937426,238.09988273808003,LEC
7,219.55078727807197,213.48907305385623,LEC
8,159.39516788185654,157.66807675416163,LEC
9,206.49917506584183,217.36221382793264,ALO
10,268.4913562050575,271.6819629549311,ALO
11,126.60333968787809,126.83971515662563,ALO
12,208.9966813677515,208.1683361132207,LEC
13,275.5211665236975,276.16751557163417,ALO
14,297.4301895031397,296.9991368022626,LEC
15,309.0197284462064,306.49895831111115,LEC
16,248.71877022966058,239.98184445003176,LEC
17,125.56693069917986,129.2120832064221,ALO
18,127.98383819101676,126.77241948110974,LEC
19,117.57194252874243,117.93170715196351,ALO
20,227.09148223692424,217.30673108182455,LEC
21,259.73311722943725,260.8644109226369,ALO
22,241.06154232996724,236.9600676121929,LEC
23,218.27999449744067,212.1966887990988,LEC
24,136.45577947451793,135.1027546787413,LEC
25,,215.8888874666667,ALO
