Minisector,PIA,VER,Fastest
0,268.82585098209523,266.4518452005442,PIA
1,287.30382239492064,284.84101377244446,PIA
2,293.78607162890756,287.87432963428574,PIA
3,131.24465315861949,131.03556462222224,PIA
4,198.08433210655625,193.57474427841413,PIA
5,255.22358610665668,255.37992266020203,VER
6,145.2537878290476,145.96495908379285,VER
7,211.6578684409931,201.73277988349207,PIA
8,258.2722124958025,256.77701923251334,PIA
9,274.82480236270675,278.60327398453785,VER
10,245.79135031594134,245.54391228051946,PIA
11,185.334931336409,187.16042628088152,VER
12,198.439878376178,201.74121535227053,VER
13,141.00388937415917,147.05550928603822,VER
14,178.74901341619446,174.65871207433818,PIA
15,166.6338278179069,165.6072931897702,PIA
16,222.01180117267083,219.46153681087364,PIA
17,245.17641662464766,243.10571770088185,PIA
18,249.05540953452171,243.56243765707873,PIA
19,241.57097866545732,246.93903105306123,VER
20,149.91268037284826,147.34271942849207,PIA
21,134.4769294605628,139.80756838425734,VER
22,169.7085432373788,167.55297523450466,PIA
23,153.8178599268661,158.32081171333274,VER
24,233.13399026526315,226.20094286111643,PIA
25,258.08571245714285,253.93500032,PIA
