Minisector,ALO,HAM,Fastest
0,301.04494736128095,304.9373891555957,HAM
1,230.6516954019159,240.05233614551744,HAM
2,127.88922286953172,130.33611112814467,HAM
3,235.975832183296,239.90483706489206,HAM
4,194.10544624470435,190.06309772637292,ALO
5,244.08800194066026,239.30144724054085,ALO
6,230.9082035058128,228.22824481966694,ALO
7,258.5680701195765,250.85328552563809,ALO
8,290.2361918781649,293.19982008751344,HAM
9,206.504999845152,212.54274578294303,HAM
10,210.00537632206348,203.13916145912782,ALO
11,271.92178831125915,275.99960274853134,HAM
12,209.4995970159997,210.41964197303454,HAM
13,256.1021951349184,252.40746767690374,ALO
14,292.80063391981423,294.5288594434317,HAM
15,307.43078953838506,311.41281181185894,HAM
16,304.050409063663,315.4823437409524,HAM
17,211.4562972049056,212.39766506846715,HAM
18,261.9881663508379,262.6151380278857,HAM
19,294.67954898031746,299.2889148438642,HAM
20,308.89315791949207,322.46004937768635,HAM
21,309.80015412714357,329.7376416979592,HAM
22,149.80585831349583,158.4956072379432,HAM
23,231.2912641671111,234.3043644067632,HAM
24,285.49477060016034,293.9227013972671,HAM
25,,312.5899721225119,HAM
