Minisector,PIA,HAM,Fastest
0,265.28141422603176,257.1647344252217,PIA
1,128.51328080352368,133.99826054849447,HAM
2,269.21036033352954,265.8352521673143,PIA
3,309.7587873870222,308.4613393035944,PIA
4,309.9842158692634,307.9417235022222,PIA
5,318.1068576740741,316.90847477008253,PIA
6,321.7318804875953,322.4539055768167,HAM
7,323.79041674666666,323.0690809742857,PIA
8,207.39833550213098,214.54189210543515,HAM
9,205.21819333433973,199.0181390207557,PIA
10,183.72293504038095,188.1325573397554,HAM
11,177.65257183202618,169.78479059548178,PIA
12,260.90049782652017,253.5705147797472,PIA
13,285.4954483075057,281.9207074955102,PIA
14,289.52743444996634,286.1399888482078,PIA
15,280.2491628232417,279.97089167601945,PIA
16,174.11882506135643,171.37893306691828,PIA
17,203.09663681519945,194.81501464697092,PIA
18,252.2693155661612,246.7525493281746,PIA
19,294.2863159398429,292.3268682435253,PIA
20,312.79918243959634,310.67422550555887,PIA
21,317.3132608556522,316.4278000164571,PIA
22,315.0841150770794,314.6391412711619,PIA
23,257.4264329829481,275.7355115000854,HAM
24,120.26167015727673,115.10558171165748,PIA
25,,228.94687439999998,HAM
