Minisector,RUS,VER,Fastest
0,293.44521872442687,276.0287763428403,RUS
1,160.75869554821344,147.99851913129834,RUS
2,163.48386164952504,166.9763838316553,VER
3,244.9741257148718,244.43968898652577,RUS
4,268.9190251951561,273.2061079636363,VER
5,236.98360663042737,229.37964158064503,RUS
6,212.18425217460705,204.62404992646464,RUS
7,143.17310478523342,137.8955803504291,RUS
8,228.9632963095994,228.1244803181318,RUS
9,304.7880515487831,297.64619835428573,RUS
10,324.70435258164747,320.7731324801101,RUS
11,330.6063155957895,320.48212192477155,RUS
12,326.69613441791944,314.90513884952384,RUS
13,321.8130494036105,310.90399900872177,RUS
14,127.91400335779471,123.43611468930904,RUS
15,113.6127404831656,112.63246107566142,RUS
16,98.07087887840433,101.21670791144734,VER
17,241.57525292698412,241.19611961366329,RUS
18,307.3662773672879,303.4608010059783,RUS
19,328.1924433347369,318.8068838374194,RUS
20,328.2773629281937,317.06704647155755,RUS
21,324.7221601647118,315.7857145904762,RUS
22,124.64764200905826,129.20056531211628,VER
23,202.7469480399186,203.129738151251,VER
24,276.2651328522191,263.83449945992675,RUS
25,285.0,,RUS
