Minisector,NOR,SAI,Fastest
0,288.55935270915575,301.3857355842386,SAI
1,289.17927966546483,291.780215980599,SAI
2,160.66269483275482,151.61219576152442,NOR
3,231.66628640728877,231.38449667340515,NOR
4,276.6204600281504,285.7337560659557,SAI
5,294.605798215009,309.96758710960006,SAI
6,297.60687263286184,322.51627110322863,SAI
7,150.77479294761264,138.6223642266767,NOR
8,142.90294179273462,151.36302849396546,SAI
9,253.6528040970349,265.3389149010899,SAI
10,284.1087796285714,302.06530427854875,SAI
11,291.30935842561115,315.3253475473649,SAI
12,141.25289819991755,138.09381496801504,NOR
13,207.65035592312032,208.97934676223625,SAI
14,257.7791439497703,250.20721346843996,NOR
15,191.83566532534041,193.93328191801243,SAI
16,225.8013869972588,224.25454765691575,NOR
17,206.0805883658867,212.06391554798654,SAI
18,248.30550703455972,248.8482888140249,SAI
19,280.1407163310335,277.5387081134269,NOR
20,291.9809415935972,284.0,NOR
21,252.2934674881804,257.5876665492022,SAI
22,215.40200516547765,220.58783777406356,SAI
23,208.15169186269657,211.25706817153866,SAI
24,267.451919354726,264.69006926496604,NOR
