Minisector,RUS,ALB,Fastest
0,300.5682144454581,306.8020739514375,ALB
1,189.33378183889255,186.55677398369554,RUS
2,219.79446824998433,227.1411014810778,ALB
3,276.6176866676223,277.819088274882,ALB
4,228.99886166003702,222.66232500717544,RUS
5,124.37511196437053,121.97283342149167,RUS
6,203.87883494945254,201.8983610690866,RUS
7,239.08772608857188,246.10881875132088,ALB
8,236.26056991619896,217.02829782281756,RUS
9,226.46116696543885,226.6192124573651,ALB
10,273.2150347796582,273.0639277925433,RUS
11,289.73115356286996,292.23206712982807,ALB
12,296.4746942399718,308.3755763514766,ALB
13,298.92778810372727,322.8335815278638,ALB
14,297.73357142857145,327.1054667144035,ALB
15,227.56901305677488,227.44710993504017,RUS
16,226.90821337740826,228.33420703651038,ALB
17,270.9428997579742,286.6344906689696,ALB
18,285.48652090637495,298.0958307099697,ALB
19,139.6030917788288,139.8501209464688,ALB
20,195.4431641573585,192.30408538650687,RUS
21,184.10726748435414,138.37446496376128,RUS
22,134.72808346515114,140.84663881286625,ALB
23,236.83597061142112,247.63018797125892,ALB
24,282.63795683221883,298.84812413047877,ALB
25,297.1194974021604,,RUS
