Minisector,BOT,LEC,Fastest
0,297.1192756592108,292.19520773333335,BOT
1,308.4645664717087,304.1992296605042,BOT
2,159.4166737606396,160.73153795860975,LEC
3,219.6061741015873,218.63619314792243,BOT
4,279.9624990877193,277.8665748596003,BOT
5,306.8795088937202,303.80092533333334,BOT
6,317.3237045064426,316.0399508705882,BOT
7,167.25007779990656,189.13056530630024,LEC
8,117.37083205756613,115.01543396566956,BOT
9,250.7718237968254,248.9806812690103,BOT
10,290.34999955087716,292.1889037403441,LEC
11,304.2313726028011,311.8888888888889,LEC
12,149.41817080747978,143.23667964912136,BOT
13,191.2073172994709,186.0681032827586,BOT
14,255.8058022311447,258.6479179767187,LEC
15,207.50224455384614,191.27857188571429,BOT
16,217.25497526129547,204.27599540058003,BOT
17,213.8178336853333,204.64951967179485,BOT
18,240.51387551995555,235.34671349197205,BOT
19,272.8502187789474,275.32726448140545,LEC
20,288.98026301754385,297.2377192982456,LEC
21,267.82660363307315,266.5288789798034,BOT
22,226.61232706666667,226.49388967688256,BOT
23,200.53254996073963,201.32665519769708,LEC
24,259.27442223267894,265.9871692781703,LEC
25,276.4124992,288.6,LEC
