Minisector,BOT,VER,Fastest
0,234.62629642045394,235.13549018938704,VER
1,290.09288425974023,282.35762984588746,BOT
2,306.83270842666667,293.63512313470034,BOT
3,311.7688392990476,296.6179138321996,BOT
4,280.42322201405693,268.83502095238094,BOT
5,169.53386943716933,171.9039461914666,VER
6,263.80892888253965,258.4381409966023,BOT
7,283.88384040865964,276.6721049558442,BOT
8,220.85292561269839,226.33130380423702,VER
9,219.5036714754642,218.750616,BOT
10,192.9764605922078,194.91277900310826,VER
11,225.4221160661309,220.14973007346939,BOT
12,207.0972731371483,211.73171036041904,VER
13,219.86192510213465,220.98617480527372,VER
14,220.9494152382958,219.21202329460658,BOT
15,182.0150555204482,186.89833710941105,VER
16,250.34541344041165,244.13876081980953,BOT
17,294.3640151757576,285.2361261249357,BOT
18,314.17658460208054,299.7785705718652,BOT
19,303.14316670933334,293.6086112,BOT
20,130.14873208619736,138.38441407340494,VER
21,160.41370358116046,176.30852242042738,VER
22,156.80638740684802,148.7928628897741,BOT
23,205.86188103465102,219.1871520656961,VER
24,147.63034098692376,148.23290683639712,VER
25,,182.51770853333335,VER
