Minisector,VER,ERI,Fastest
0,290.9370106352941,302.30527053202644,ERI
1,293.4323521882353,306.6511111111111,ERI
2,173.87870222615294,155.75072446808076,VER
3,228.36622220190475,227.11824489142856,VER
4,275.38406958431375,283.4830881882353,ERI
5,294.12924655746036,311.2222073993531,ERI
6,297.66582612436974,323.1803571809524,ERI
7,169.09627478095237,161.13569280000002,VER
8,137.60838973185201,132.4929642785185,VER
9,251.01984292063491,254.49912396252856,ERI
10,282.87447550028014,290.75703146666666,ERI
11,288.5775490342071,305.9788888888889,ERI
12,151.7225776344086,144.59800972938623,VER
13,202.45540715636525,199.6201096347826,VER
14,258.0888894222222,257.7638202330349,VER
15,206.40964882696423,195.06410698697093,VER
16,223.4722409974026,226.4324958038327,ERI
17,212.13868952380952,213.9244026975099,ERI
18,247.2580921641166,248.61513235087716,ERI
19,277.3397065411765,276.597136159204,VER
20,289.93538199347773,291.97492700106557,ERI
21,255.77148088742499,247.98435791435662,VER
22,230.18624896,214.36014504588746,VER
23,213.62438878874698,214.07341373968254,ERI
24,267.7407149405647,269.80435591361277,ERI
