Minisector,NOR,VER,Fastest
0,290.5133769204205,290.45461195541577,NOR
1,164.96156878226495,160.66243825620208,NOR
2,177.45434909161793,175.7634158556125,NOR
3,256.0004207190722,252.69619308538577,NOR
4,289.3784002015238,285.6556672842512,NOR
5,245.5624085448756,246.16699236173915,VER
6,224.36082429923852,222.10007837090987,NOR
7,157.02697069537916,153.11353495987754,NOR
8,223.77912081345403,231.4251425337068,VER
9,277.8898441331602,281.17589088596054,VER
10,297.5265330087157,299.30648012121213,VER
11,306.7593537959184,307.39929343886763,VER
12,309.1844689394395,311.0712774191988,VER
13,307.8060272633135,306.03643450043097,NOR
14,132.38353083988474,126.55667309252202,NOR
15,118.13406492917466,121.05545981143155,VER
16,102.98332411286756,106.16488679393659,VER
17,233.82110878044048,234.22122736816104,VER
18,286.11859616715725,285.1104481719728,NOR
19,305.91874160314836,305.8071284876331,NOR
20,315.8858974881203,317.4993693738346,VER
21,318.76120627649124,315.9421746560985,NOR
22,117.96408805327037,120.53831479964354,VER
23,204.3603710002005,202.53466707430087,NOR
24,270.54229534018447,268.2001098942044,NOR
25,,282.84999999999997,VER
