Minisector,HUL,LAW,Fastest
0,248.61454209890456,251.77510245260385,LAW
1,286.31535082472726,285.6789547857875,HUL
2,175.40294367541583,164.2530373199039,HUL
3,165.23575242972387,146.47282475720164,HUL
4,261.16580855787583,258.6626522484354,HUL
5,276.2603669796592,271.228471764876,HUL
6,234.7184172719399,234.48274858656086,HUL
7,208.237076963291,211.54667805084196,LAW
8,156.00350398936666,163.20280919607507,LAW
9,218.07004604897958,221.69054199514167,LAW
10,273.2207512395784,270.47425577142855,HUL
11,129.05035867006393,126.46828204221802,HUL
12,215.0689304148717,216.3121166795699,LAW
13,275.5505757968254,277.2488952271315,LAW
14,298.4953517500016,298.6280900782222,LAW
15,306.06255519080764,308.4077254051128,LAW
16,228.48908869735592,207.45721262371242,HUL
17,129.55597648801427,130.16643147644763,LAW
18,129.32232058668373,136.8319886429501,LAW
19,123.28876769632926,118.22717276897957,HUL
20,231.03589635574056,231.44154945645715,LAW
21,263.1477961175983,263.091798650582,HUL
22,245.22128018116007,229.5084659369312,HUL
23,220.16798089201467,196.0470244498947,HUL
24,140.43013723560438,144.8386246834049,LAW
25,212.18334506666667,,HUL
