Minisector,GAS,STR,Fastest
0,257.714438919224,252.65856504527576,GAS
1,202.28362897659343,206.47441989177204,STR
2,217.76196098064517,216.19045992397696,GAS
3,259.95754589737084,260.343011495445,STR
4,274.0316664,275.0070869354307,STR
5,221.16998762364872,224.59568421022158,STR
6,95.54694714717789,96.64590464629565,STR
7,183.31193623063064,174.2361157556791,GAS
8,268.4431344563389,264.169980430634,GAS
9,288.901295090354,286.5071725073903,GAS
10,295.76524141525846,295.0298912463768,GAS
11,289.0138630812679,294.7959936376189,STR
12,112.28408382994739,147.1407978575238,STR
13,211.54925232814878,213.35950482951554,STR
14,275.0746815631083,273.83584302912425,GAS
15,293.48178053830225,292.51156871777613,GAS
16,224.7779389476272,199.80025126818614,GAS
17,121.38633871904453,117.12785081786711,GAS
18,151.79315487383818,154.8826997277398,STR
19,253.2774028698413,253.70796476617465,STR
20,156.83955820863986,149.16158979447803,GAS
21,126.89036304862312,124.69596671307032,GAS
22,202.2512986089466,206.4212605661339,STR
23,204.82189071811462,202.04077576306202,GAS
24,165.18163259544374,162.8393284991474,GAS
25,229.87499733333334,,GAS
