Minisector,RUS,LEC,Fastest
0,290.2706583970441,293.97300151466675,LEC
1,301.2601040281437,304.5235118899471,LEC
2,304.2790849673203,309.29059748289245,LEC
3,300.88038352791784,308.8810382747942,LEC
4,169.00812278709654,167.41840396323232,RUS
5,207.86217027849096,208.63450984337308,LEC
6,236.12188330675173,234.2601463709091,RUS
7,266.04331759382677,267.9281112383292,LEC
8,250.68361293762518,236.50755674501036,RUS
9,159.52494523656085,156.30747571598422,RUS
10,221.90852330588888,220.864150925009,RUS
11,123.29342497331731,127.06843053845613,LEC
12,224.2131897203326,228.92321664607516,LEC
13,173.51461520088998,179.29160595566654,LEC
14,210.8742365739473,215.19905691237935,LEC
15,242.6610235041512,239.3539778926031,RUS
16,263.47779040404043,264.07374550181817,LEC
17,289.0611301431762,289.42433022380953,LEC
18,153.44754297060342,148.03286220558735,RUS
19,163.21910001255267,164.27148513326918,LEC
20,132.6072344871721,141.01432676816202,LEC
21,226.83558093210925,229.5030098548824,LEC
22,266.2538609625397,262.7897727143269,RUS
23,253.50515909079073,247.9746462241543,RUS
24,275.7544668994668,276.4262781351115,LEC
