Minisector,PIA,STR,Fastest
0,305.39035352533335,301.6878595440116,PIA
1,321.1805661255204,319.8206765171501,PIA
2,290.84001701838963,295.48069030647343,STR
3,111.2621080992109,107.16829472171717,PIA
4,219.34811034288703,226.4454080791293,STR
5,270.1535462293996,274.6415744249351,STR
6,205.09314897803637,199.0123709343921,PIA
7,163.39270052609493,163.13177754305656,PIA
8,211.1104079767325,199.6259517598861,PIA
9,219.52509877107585,212.27542411954647,PIA
10,109.9666515111723,114.26675289832109,STR
11,232.2354625956965,221.10063024967133,PIA
12,119.3084827380995,107.62611479560105,PIA
13,224.46306793299146,228.7613702853194,STR
14,273.4843733364933,286.0998321395932,STR
15,204.7432841081905,210.6168560895643,STR
16,196.4298168194176,199.4523964058957,STR
17,255.09147340259742,242.73045367670088,PIA
18,209.24238415450787,195.76060695006444,PIA
19,181.15008487996838,189.7936319627704,STR
20,265.9391269771126,264.3607220436364,PIA
21,293.7093925170259,288.3793795918158,PIA
22,164.31639384531556,166.66763690701646,STR
23,212.2910007438602,217.44495676189575,STR
24,276.2957410245963,272.0620536024022,PIA
25,293.65714285714284,,PIA
