Minisector,VET,SAI,Fastest
0,301.5726013252525,288.5996404727098,VET
1,323.3596716199392,305.20875013333335,VET
2,312.97687461333334,298.5123630188923,VET
3,184.53722251194532,181.1307403910806,VET
4,226.97323325856468,228.39033674783528,SAI
5,206.82774486720604,209.3010836577293,SAI
6,194.6950741106305,192.98633403544494,VET
7,221.7273918855254,221.31977025645415,VET
8,262.8571915434017,260.6667663111111,VET
9,262.04816219296066,262.5533530519245,SAI
10,181.50474624966085,174.75630927238095,VET
11,246.60083389561905,241.73217445945414,VET
12,123.46613476132276,114.04256230784152,VET
13,233.62747209114568,234.14896532204585,SAI
14,277.0984853887446,276.4781347709091,VET
15,289.9140365316137,279.35486974891774,VET
16,213.01719339118168,201.12216096869537,VET
17,192.9636144520447,192.40241832439705,VET
18,275.07233665346314,273.26956586666665,VET
19,299.2610417066667,295.9379632084656,VET
20,311.7274438736842,306.07500007619046,VET
21,312.99073967792754,304.86917283609023,VET
22,268.124455591342,238.62031515902638,VET
23,119.78190631153855,120.51847960600885,SAI
24,246.3956981218222,249.21513033015876,SAI
