Minisector,ALO,STR,Fastest
0,298.76567464126987,304.95978258550724,STR
1,281.17429769701823,276.819532359599,ALO
2,176.38876433354972,161.4480975304101,ALO
3,200.3796719298183,198.6167027915759,ALO
4,218.73516846202875,230.73404805228756,STR
5,264.9682997900763,267.6938109488221,STR
6,235.1696080995966,226.14513407721196,ALO
7,208.42929263838383,200.36304958817564,ALO
8,182.23384347378547,172.22047413759907,ALO
9,154.94888046999748,159.54073446311315,STR
10,189.57379153704002,180.24679607370396,ALO
11,189.7917952461601,196.0066069081094,STR
12,189.76334138076226,239.53703703703704,STR
13,166.56729869253877,166.32659101939902,ALO
14,247.03088854057498,240.08054038522974,ALO
15,272.25094104863354,275.92763975155276,STR
16,261.6848755510044,269.18413460512824,STR
17,255.23831990937262,258.0346153846154,STR
18,249.9977057800935,243.5670812732725,ALO
19,241.9404772190476,248.20971052605935,STR
20,260.50117490614406,252.53334292476387,ALO
21,189.57828812895187,245.6049764432739,STR
22,224.4733688400325,221.03061414802545,ALO
23,274.2162689269841,257.050483774398,ALO
24,291.6257125524969,287.9027734199163,ALO
25,297.3041674666667,299.08461546666666,STR
