Minisector,NOR,VER,Fastest
0,261.43471986571427,260.98186973874124,NOR
1,137.26716924461698,139.1218542754947,VER
2,204.06504139174604,201.86798343230626,NOR
3,249.06726592101586,247.42320552071595,NOR
4,258.70380169329286,260.37638187851854,VER
5,181.4441351695238,181.55120654869026,VER
6,157.13789951301126,147.05587789055028,NOR
7,194.14020743472682,188.07914144985995,NOR
8,107.80194275138942,99.98235720545605,NOR
9,74.9008318690053,71.84056437858716,NOR
10,96.69577175041796,98.78456883548222,VER
11,186.2637356379824,186.97614203508772,VER
12,250.0115560391111,246.46800032000002,NOR
13,271.6505372685981,268.31158443369964,NOR
14,285.0679167827552,275.0368016844493,NOR
15,109.44098527034922,109.61906465975308,VER
16,155.42655464498037,167.35476752898757,VER
17,188.09187277034025,190.9603579163239,VER
18,208.20487481400562,206.7034176388422,NOR
19,223.6178671514074,215.03100341960786,NOR
20,146.20897148713817,138.52218914391534,NOR
21,111.5486588148157,104.03888800664157,NOR
22,105.10516563800404,108.41823045725607,VER
23,204.79994988395123,208.89376311769377,VER
24,258.2162166933333,252.79221093006802,NOR
25,266.8750034285714,,NOR
