Minisector,SAI,LEC,Fastest
0,294.92765146320346,299.4654759111111,LEC
1,245.50881435897435,248.71503562589578,LEC
2,203.38238383506476,196.68620061881256,SAI
3,267.08665029619516,264.30304739365295,SAI
4,231.35480603880072,226.54460025679012,SAI
5,117.81682256557527,120.48026080440933,LEC
6,175.99411639145777,172.96330748934756,SAI
7,258.0294000554666,255.02499924444444,SAI
8,286.1990080435374,287.40939097811673,LEC
9,298.7761905015873,302.74563469931974,LEC
10,304.68446661481505,309.32828940350873,LEC
11,215.60287581460318,229.76537655172413,LEC
12,149.24163285066723,142.78080050760627,SAI
13,257.65569062801416,254.0595476825397,SAI
14,286.8670988845018,288.52327851210214,LEC
15,295.12441957028034,299.58749992380956,LEC
16,292.80069893862355,298.19807253333335,LEC
17,258.5166401693593,259.93975786666664,LEC
18,181.2131048984598,176.0202048113474,SAI
19,180.37793809802798,186.45766327566463,LEC
20,187.64913389472443,177.85521205134467,SAI
21,246.2258110867785,250.53533287009523,LEC
22,126.83298795354833,128.6696101401604,LEC
23,200.10813633816244,189.6664554471981,SAI
24,274.4790682423565,274.6336308813853,LEC
25,286.0250016,291.36250026666664,LEC
