Minisector,PIA,OCO,Fastest
0,275.5907468578081,266.737882141896,PIA
1,123.82362481316156,107.25260035940725,PIA
2,167.4167916764064,158.5015679567075,PIA
3,216.64532577422221,199.2168452952381,PIA
4,164.32537096681094,158.10643663587723,PIA
5,242.55056038028985,240.28196517553604,PIA
6,196.19689165586814,166.5633793015873,PIA
7,132.15161082351378,134.87648430079713,OCO
8,233.87484204842895,238.49982029786847,OCO
9,278.2426311111111,283.0214745688847,OCO
10,285.3543575771428,274.28839205714286,PIA
11,150.43467886408843,144.82466761410234,PIA
12,224.240276350839,228.55835919785918,OCO
13,274.34738028190475,273.74124747824214,PIA
14,256.373995210582,240.9394980416409,PIA
15,101.21617528258565,100.45314149632753,PIA
16,224.4700008838765,226.53810262053662,OCO
17,273.33570343685494,273.4079822147368,OCO
18,292.05594155333335,301.35189136260567,OCO
19,300.6671753346556,315.66958438029985,OCO
20,304.7092162488889,325.2321290318867,OCO
21,271.05881628885686,233.7190182393393,PIA
22,141.41638611956668,150.47517370352344,OCO
23,233.959736008,242.8342307692308,OCO
24,277.1454501879524,281.9364732190476,OCO
