Minisector,RUS,HAM,Fastest
0,298.11879007237746,297.7797956152749,RUS
1,165.84976054185634,163.96248617642917,RUS
2,155.7751004803186,155.49906231012724,RUS
3,233.01898387548715,229.13838681429846,RUS
4,285.6402991656517,290.05821166655164,HAM
5,287.6516716672831,289.5808297089855,HAM
6,143.66192805061044,146.36123115214002,HAM
7,147.71350698895247,141.44385521803932,RUS
8,136.71894494517556,140.08068920555945,HAM
9,204.2294387382652,192.4245221873036,RUS
10,133.62473570610538,133.5643250683551,RUS
11,132.95574160934262,131.05355391736282,RUS
12,177.40219268416965,173.08958467782276,RUS
13,272.46116540100127,268.21079472835737,RUS
14,295.12530966798613,292.90627320438284,RUS
15,154.6455888074056,155.03921601203396,HAM
16,206.713194113811,206.67617713164304,RUS
17,178.32619812732003,173.5244077953215,RUS
18,272.0968492174131,271.8812878919171,RUS
19,293.1677984000018,296.41757566564763,HAM
20,308.7023568444091,311.62151178522805,HAM
21,316.82315457423033,321.4393420455809,HAM
22,323.74725092932334,326.0697402605898,HAM
23,326.14773164157606,329.46081733668683,HAM
24,323.9009328294844,324.7837330589857,HAM
25,,321.94409825300085,HAM
