Minisector,RUS,ALB,Fastest
0,293.0363146577778,299.35027754158733,ALB
1,182.7785170512221,167.11325006835574,RUS
2,177.6093071883824,179.03971387859184,ALB
3,254.40618434650213,257.59269472832705,ALB
4,284.39000699118924,286.366485244839,ALB
5,244.81838810408806,246.91033313523812,ALB
6,229.50289136326532,226.27251772763523,RUS
7,159.27521939741678,150.2424898246692,RUS
8,224.12594705306043,232.93124351275642,ALB
9,277.29444321622157,287.0021201518643,ALB
10,300.2754666061327,307.0736681921767,ALB
11,309.85893294623224,316.6631688673684,ALB
12,313.95170949294857,321.10074071703707,ALB
13,310.7742843326984,320.696531224,ALB
14,129.27631042951953,124.83197713661366,RUS
15,120.24453821898395,117.23587233556408,RUS
16,101.0863192380507,108.70226121749003,ALB
17,230.89739143981137,244.50232809604717,ALB
18,283.15298736040097,290.37750216567537,ALB
19,303.4184799684177,308.98626037816206,ALB
20,313.03878183683213,317.7284397756089,ALB
21,314.7536039893333,320.678365374359,ALB
22,135.09760995259384,122.72048595900483,RUS
23,203.984992840946,214.87939461790933,ALB
24,269.6440242982313,274.5747858766176,ALB
