Minisector,LEC,PIA,Fastest
0,309.1506588966396,252.34279182467336,LEC
1,198.61513151454395,122.03792542103005,LEC
2,112.04806190354908,131.87854784251138,PIA
3,193.16068855070478,220.12183935095382,PIA
4,250.788596926391,269.14020971636364,PIA
5,282.6145709950327,292.2144303894619,PIA
6,299.60979181666664,303.8605246957143,PIA
7,231.8309401790375,174.4799052935509,LEC
8,145.68223113382314,161.22894546182175,PIA
9,231.91403893890384,244.47273277543167,PIA
10,269.7983377434131,276.86029552571426,PIA
11,223.17047504747782,207.5631640972433,LEC
12,174.566462378829,176.36161151117201,PIA
13,101.83532964119755,92.40115002882249,LEC
14,107.93951120434487,117.45095183779338,PIA
15,136.88970386278717,108.95353413653439,LEC
16,116.65137393944067,150.86480193042337,PIA
17,207.86737154619354,215.75626589459486,PIA
18,146.05982184207792,130.8380185243024,LEC
19,151.07987455404486,186.02666555850556,PIA
20,242.2430242979894,255.31710874828283,PIA
21,274.0904897142857,280.0043759398257,PIA
22,292.5159168106667,297.73661295630956,PIA
23,302.15851010456566,305.80123255134197,PIA
24,307.2222427764706,310.39554392592595,PIA
