Minisector,RIC,OCO,Fastest
0,282.59905127961474,282.7934839254701,OCO
1,157.94177584017072,153.5106332066609,RIC
2,138.26180387777066,143.23273450842743,OCO
3,224.41703128021805,224.1787604212011,RIC
4,280.512163305503,283.21963955336787,OCO
5,282.6254861536088,287.91436084293275,OCO
6,142.46815894404136,135.0384251394276,RIC
7,137.77844594909706,134.5259034948687,RIC
8,137.29103197798585,137.16019180316115,RIC
9,183.69467853117823,185.08783120381892,OCO
10,123.40414803278438,128.35285618839316,OCO
11,116.73994784779784,120.2998250484553,OCO
12,166.8676912957265,160.34329518365683,RIC
13,265.3676550311155,264.5291987637607,RIC
14,283.5018571291428,286.0173046676276,OCO
15,140.06123709332357,141.23428500496038,OCO
16,199.59321253918426,201.6791711211159,OCO
17,170.22250417495346,163.91802529550264,RIC
18,269.94802459337143,269.4425765558793,RIC
19,290.1545236901587,294.9542965367965,OCO
20,303.22311590055335,311.22973316663786,OCO
21,310.911499968,319.4050906916437,OCO
22,313.4640350690059,322.9437252021164,OCO
23,315.8301354596575,324.28694813972425,OCO
24,313.5161452175964,316.83875,OCO
25,308.0,313.3166670222222,OCO
