Minisector,HAM,KVY,Fastest
0,250.89174637714285,255.3038784933948,KVY
1,140.301917269394,134.52957766704975,HAM
2,265.7187508571429,265.13593138798973,HAM
3,306.02397899701856,309.2301090603175,KVY
4,303.89666653866664,307.48578066224974,KVY
5,310.5034852396393,314.00431155942033,KVY
6,314.78858508888885,318.88300003352384,KVY
7,313.9138814480082,317.6104707532468,KVY
8,212.12212197248675,207.24403858320136,HAM
9,203.5824688170887,193.62330440256156,HAM
10,194.1756720221916,191.45601151238094,HAM
11,170.68979666141087,163.40044063111517,HAM
12,248.8695844977778,242.95112704165535,HAM
13,276.4332671362556,269.92808588641975,HAM
14,280.6059635942301,272.338479612284,HAM
15,279.7125970621177,274.56733381388796,HAM
16,192.53914389478612,186.4420384673016,HAM
17,198.9563800368243,194.07244626340173,HAM
18,241.9753453171886,239.42977016865353,HAM
19,287.043927678423,286.6504811897436,HAM
20,306.05430487159106,309.6397409355852,KVY
21,314.2579709217391,319.1092013968254,KVY
22,312.1610188398608,317.3866829734964,KVY
23,261.97924918752057,270.57286513553737,KVY
24,118.83169423063886,115.8078486320262,HAM
25,230.25,,HAM
