Minisector,HAM,GRO,Fastest
0,286.92916663703704,286.6736110814815,HAM
1,295.18137248627454,296.89832904558756,GRO
2,300.1868872,300.48869045602237,GRO
3,301.0091146666667,302.07942833333334,GRO
4,184.42901292698411,167.03393264201134,HAM
5,225.13787804444445,210.7480209201175,HAM
6,250.55080628569317,245.44166677333334,HAM
7,271.10839560501256,265.15153487719294,HAM
8,270.2859653459557,266.7145986325815,HAM
9,173.47032597107585,168.4215454680727,HAM
10,234.96196808366267,232.81420412121213,HAM
11,141.57976159346939,139.58802083890393,HAM
12,227.09900630780996,221.60037881212122,HAM
13,205.6113344,198.688499712,HAM
14,224.54303890909088,211.26758412698413,HAM
15,257.0882571364968,252.75958325333332,HAM
16,266.956049143404,263.72322021130685,HAM
17,284.95381496039164,282.40126049523815,HAM
18,139.84951914749035,136.1355622753439,HAM
19,170.35279015343943,157.23277907061234,HAM
20,155.4234929761905,147.86325294341736,HAM
21,174.93435805894126,172.09876822742825,HAM
22,123.11633478794833,117.64942491708737,HAM
23,226.9136896,223.33333398260868,HAM
24,268.64473667368424,266.2581021375661,HAM
25,,279.1293539118341,GRO
