Minisector,HAM,STR,Fastest
0,295.86896189026714,287.07244636168303,HAM
1,316.7827540749996,299.2388890122449,HAM
2,327.1901318736842,303.2654849797896,HAM
3,332.7868055703704,296.7211010590476,HAM
4,267.3703571488635,251.79044962133332,HAM
5,194.98162710857144,184.95415385899443,HAM
6,255.89003591552793,255.1504223301587,HAM
7,269.3830037905067,276.5197025438963,STR
8,209.3684120538588,199.63555512888888,HAM
9,214.33996829782882,201.99119581198568,HAM
10,145.97801771950267,140.9890658871359,HAM
11,247.43428942697847,247.46895009996337,STR
12,274.5325756121212,271.8259469090909,HAM
13,227.0657653961647,226.04462323174062,HAM
14,261.53473041490685,259.94124554285713,HAM
15,233.54188320548866,222.61030500411192,HAM
16,184.82122306666668,178.05490315294116,HAM
17,258.71578841036546,255.5156555409727,HAM
18,150.81065697746806,147.12974762170543,HAM
19,209.87829900013028,208.85704029359925,HAM
20,268.9215364502165,274.0509064811594,STR
21,286.0470882043402,287.4739467388811,STR
22,167.11779121269842,160.35274074385967,HAM
23,186.784046198341,176.63916844743162,HAM
24,258.0049684273292,258.66198436580055,STR
25,274.47083306666667,,HAM
