Minisector,HAM,OCO,Fastest
0,261.85743969976176,253.2166716757366,HAM
1,132.0878381482539,129.7377050727312,HAM
2,266.1181029934868,259.44040971027135,HAM
3,308.1028627637607,306.86963050779906,HAM
4,305.56057341177745,306.0090037501133,OCO
5,309.08496736845376,313.4219907621399,OCO
6,312.80523074056,318.7773931350427,OCO
7,315.154040738107,314.50529098783124,HAM
8,201.30410988841024,193.14374723652884,HAM
9,197.97022094498195,190.9131794417692,HAM
10,192.9437229061609,186.70741862689377,HAM
11,171.42271642541883,168.66217042031866,HAM
12,256.9961871256318,251.21357393827608,HAM
13,281.6352277603216,263.7763692771157,HAM
14,282.4149228167706,272.08911282941284,HAM
15,281.7038590041265,263.4163023396072,HAM
16,184.30454749971395,176.56451137962688,HAM
17,196.0188797283236,183.35719661496617,HAM
18,237.50783547120398,229.4168642936876,HAM
19,289.1646064009197,283.92607062021506,HAM
20,313.0059220198496,309.0731089057537,HAM
21,318.8162231204662,317.9799761828571,HAM
22,317.097845160127,315.08001080577117,HAM
23,254.61708976884364,217.93264469293334,HAM
24,109.66547798141383,115.67432980961364,OCO
