Minisector,LEC,RIC,Fastest
0,281.37376995473545,276.6589381608533,LEC
1,297.04058460383453,290.4575120954114,LEC
2,240.6951763883248,228.24690268441404,LEC
3,119.20917846006479,114.86177465198404,LEC
4,145.6530679963251,140.82828379322356,LEC
5,255.773191670351,248.9738320537093,LEC
6,258.0596707438779,243.76573201965428,LEC
7,129.291495097826,125.32938989265568,LEC
8,252.24448288306294,243.55618587117428,LEC
9,266.09307051178615,244.57684077681353,LEC
10,214.92900187995198,204.61732242206625,LEC
11,152.9692751390199,140.23224626769536,LEC
12,219.02708770251138,206.9124919815068,LEC
13,266.88220908782756,255.67251454409939,LEC
14,118.02971168622072,115.65856497091802,LEC
15,202.53476366945776,191.18294271624362,LEC
16,261.7595844026045,254.94730581927053,LEC
17,288.1712460331729,284.15461877976924,LEC
18,297.4007942164122,294.71471831262227,LEC
19,301.6849206857143,297.4396151526844,LEC
20,304.5217105403509,297.0866227087719,LEC
21,156.61203790112785,150.29265853604468,LEC
22,158.02464938128415,157.6038264271369,LEC
23,194.67135450399707,192.21893630610657,LEC
24,241.80340343398007,233.90448790271344,LEC
