Minisector,LEC,GAS,Fastest
0,293.70869081142854,292.04598304409853,LEC
1,304.83650318702234,303.43993961430294,LEC
2,291.0997871809774,268.3818894204982,LEC
3,110.00514535390788,104.35339384391796,LEC
4,220.40160385346502,223.45152371976096,GAS
5,274.3051414773183,274.00113015307875,LEC
6,209.38369851950708,195.04411397941013,LEC
7,154.1784975187995,163.53233215157886,GAS
8,203.38795778428914,210.54922658482852,GAS
9,220.30890622098386,211.1722866026295,LEC
10,121.15297747954934,114.30592152922482,LEC
11,229.57906243792917,229.0537698219419,LEC
12,117.53540617962013,112.70708496096177,LEC
13,227.33356491555557,226.79308770386947,LEC
14,276.4432707113315,278.68091888084655,GAS
15,216.42760838270388,205.65347899143524,LEC
16,189.4771925495872,196.03009150076795,GAS
17,251.69916687183672,251.33405259894178,LEC
18,189.3246914621216,181.8434834780373,LEC
19,186.0740049599162,190.89907872761904,GAS
20,267.4681343011111,266.0690556255378,LEC
21,287.4844955972789,291.3475599733333,GAS
22,165.4612336100901,163.75483024211908,LEC
23,204.93631784089212,217.7716638465929,GAS
24,276.4850069029957,272.3870046732805,LEC
