Minisector,PIA,GAS,Fastest
0,275.97321160620726,274.6808011758274,PIA
1,304.12584496975654,307.04121375492065,GAS
2,315.8260490741259,327.16107958204077,GAS
3,323.200879762963,338.96705359960583,GAS
4,325.9721702912045,347.4583146123428,GAS
5,327.29325740929295,347.4750903182222,GAS
6,221.0071858395952,193.24276493131657,PIA
7,108.93695096437114,103.6742966190556,PIA
8,183.7480905700141,180.6302889847619,PIA
9,263.01447854732027,265.88579997777776,GAS
10,291.6527240987655,300.62711318031745,GAS
11,165.00026767918052,135.19912476002048,PIA
12,97.77336338387786,97.27630312716157,PIA
13,116.65161704483656,116.0540849476725,PIA
14,223.39415461906663,218.97222373402596,PIA
15,200.5400769740527,190.01462003692998,PIA
16,233.2756978117084,225.3773424231884,PIA
17,189.55333666323568,178.06781151535787,PIA
18,241.12734594747744,239.7220474328889,PIA
19,276.9524632414815,282.55832832739566,GAS
20,250.6265463023043,227.66451394262626,PIA
21,149.47680594552583,142.62628031933934,PIA
22,98.7347061660299,98.4480427277742,PIA
23,124.80962564777,124.33609984762913,PIA
24,224.92269768394905,229.65392211352383,GAS
25,257.9500032,,PIA
