Minisector,LEC,STR,Fastest
0,303.5980260484738,315.5572717488212,STR
1,214.8144199876923,203.1123252225834,LEC
2,137.53206698311251,138.2492422548382,STR
3,211.8877557638095,213.58059368123995,STR
4,157.34306207170306,156.34500313048574,LEC
5,175.66355293107344,179.14286433641024,STR
6,251.56616661327325,250.85224899963833,LEC
7,279.4616671466666,277.4753784491775,LEC
8,285.5769841777778,284.0744114967273,LEC
9,259.6909656623633,255.1477408724205,LEC
10,243.68277854814812,241.88818697994552,LEC
11,241.52937933524512,235.60293182729606,LEC
12,206.7679861111111,198.4294277185185,LEC
13,136.7280072525249,128.3567467296123,LEC
14,140.26968725467785,134.63673462603174,LEC
15,179.42039827365227,171.8624690549155,LEC
16,252.98717671111112,256.06273709326223,STR
17,240.71165151227797,227.6341352138913,LEC
18,112.73415036432056,112.10336240635817,LEC
19,196.6594401558181,197.07352845765482,STR
20,196.24288234901098,195.13724698933007,LEC
21,231.87728788340155,230.39859153309945,LEC
22,263.8221580347475,269.19089336461155,STR
23,282.93211924847185,293.5792205415758,STR
24,297.35070958379583,311.0448863709091,STR
